Country,Year,Healthcare Access (%)
Afghanistan,2016,92
Afghanistan,2017,92
Afghanistan,2018,92
Afghanistan,2019,92
Afghanistan,2020,92
Afghanistan,2021,92
Afghanistan,2022,92
Afghanistan,2023,92
Armenia,2014,40
Armenia,2015,40
Armenia,2016,40
Armenia,2017,40
Armenia,2018,40
Armenia,2019,40
Armenia,2020,40
Armenia,2021,40
Armenia,2022,40
Azerbaijan,2014,52
Azerbaijan,2015,52
Azerbaijan,2016,52
Azerbaijan,2017,52
Azerbaijan,2018,52
Azerbaijan,2019,52
Azerbaijan,2020,52
Azerbaijan,2021,52
Azerbaijan,2022,52
Bangladesh,2014,62
Bangladesh,2015,62
Bangladesh,2016,63
Bangladesh,2017,63
Bangladesh,2018,63
Bangladesh,2019,63
Bangladesh,2020,63
Bangladesh,2021,63
Bangladesh,2022,63
Bhutan,2015,83
Bhutan,2016,83
Bhutan,2017,83
Bhutan,2018,83
Bhutan,2019,83
Bhutan,2020,83
Bhutan,2021,83
Bhutan,2022,83
Bhutan,2023,83
Brazil,2006,74
Brazil,2007,72
Brazil,2008,71
Brazil,2009,69
Brazil,2010,68
Brazil,2011,66
Brazil,2012,64
Brazil,2013,63
Brazil,2014,61
Brazil,2015,59
Brazil,2016,58
Brazil,2017,55
Brazil,2018,55
Brazil,2019,55
Brazil,2020,55
Brazil,2021,55
Burundi,2015,46
Burundi,2016,46
Burundi,2017,47
Burundi,2018,47
Burundi,2019,48
Burundi,2020,48
Burundi,2021,48
Burundi,2022,48
Burundi,2023,48
Cambodia,2020,77
Cambodia,2021,78
Cambodia,2022,78
Cambodia,2023,78
Central African Republic,2019,87
Central African Republic,2020,87
Central African Republic,2021,87
Central African Republic,2022,87
Central African Republic,2023,87
Comoros,2015,90
Comoros,2016,90
Comoros,2017,90
Comoros,2018,90
Comoros,2019,90
Comoros,2020,90
Comoros,2021,90
Comoros,2022,90
Cook Islands,2014,20
Cook Islands,2015,20
Cook Islands,2016,20
Cook Islands,2017,20
Cook Islands,2018,20
Cook Islands,2019,20
Cook Islands,2020,20
Cook Islands,2021,20
Cook Islands,2022,20
Croatia,2018,12
Croatia,2019,12
Croatia,2020,12
Croatia,2021,12
Croatia,2022,12
Croatia,2023,12
Egypt,2016,26
Egypt,2017,26
Egypt,2018,26
Egypt,2019,26
Egypt,2020,26
Egypt,2021,26
Egypt,2022,26
Egypt,2023,26
Estonia,2000,0
Estonia,2001,0
Estonia,2002,0
Estonia,2003,0
Estonia,2004,0
Estonia,2005,0
Estonia,2006,0
Estonia,2007,0
Estonia,2008,0
Estonia,2009,0
Estonia,2010,0
Estonia,2011,0
Estonia,2012,0
Estonia,2013,0
Estonia,2014,0
Estonia,2015,0
Estonia,2016,0
Estonia,2017,0
Estonia,2018,0
Estonia,2019,0
Estonia,2020,0
Estonia,2021,0
Estonia,2022,0
Estonia,2023,0
Ethiopia,2010,20
Ethiopia,2011,20
Ethiopia,2012,20
Ethiopia,2013,20
Ethiopia,2014,20
Ethiopia,2015,19
Ethiopia,2016,18
Ethiopia,2017,18
Ethiopia,2018,39
Ethiopia,2019,39
Ethiopia,2020,39
Ethiopia,2021,39
Ethiopia,2022,39
Ethiopia,2023,39
Fiji,2013,91
Fiji,2014,91
Fiji,2015,91
Fiji,2016,91
Fiji,2017,89
Fiji,2018,86
Fiji,2019,84
Fiji,2020,81
Fiji,2021,79
Georgia,2017,76
Georgia,2018,76
Georgia,2019,76
Georgia,2020,76
Georgia,2021,76
Georgia,2022,76
Georgia,2023,76
Guinea-Bissau,2010,91
Guinea-Bissau,2011,91
Guinea-Bissau,2012,91
Guinea-Bissau,2013,91
Guinea-Bissau,2014,91
Guinea-Bissau,2015,89
Guinea-Bissau,2016,87
Guinea-Bissau,2017,85
Guinea-Bissau,2018,80
Guinea-Bissau,2019,78
Guinea-Bissau,2020,78
Guinea-Bissau,2021,77
Guinea-Bissau,2022,77
Guinea-Bissau,2023,77
Honduras,2011,79
Honduras,2012,79
Honduras,2013,92
Honduras,2014,92
Honduras,2015,92
Honduras,2016,92
Honduras,2017,92
Honduras,2018,92
Honduras,2019,92
Honduras,2020,92
Honduras,2021,92
Honduras,2022,79
Honduras,2023,79
"Iran, Islamic Republic of",2017,62
"Iran, Islamic Republic of",2018,62
"Iran, Islamic Republic of",2019,62
"Iran, Islamic Republic of",2020,62
"Iran, Islamic Republic of",2021,62
"Iran, Islamic Republic of",2022,62
"Iran, Islamic Republic of",2023,62
Iraq,2015,79
Iraq,2016,79
Iraq,2017,79
Iraq,2018,79
Iraq,2019,93
Iraq,2020,93
Kenya,2012,91
Kenya,2013,90
Kenya,2014,90
Kenya,2015,89
Kenya,2016,88
Kenya,2017,86
Kenya,2018,83
Kenya,2019,81
Kenya,2020,78
Kenya,2021,76
Kenya,2022,73
Kenya,2023,71
Kiribati,2019,97
Kiribati,2020,97
Kiribati,2021,97
Kiribati,2022,97
Kiribati,2023,97
Kuwait,2000,0
Kuwait,2001,0
Kuwait,2002,0
Kuwait,2003,0
Kuwait,2004,0
Kuwait,2005,0
Kuwait,2006,0
Kuwait,2007,0
Kuwait,2008,0
Kuwait,2009,0
Kuwait,2010,0
Kuwait,2011,0
Kuwait,2012,0
Kuwait,2013,0
Kuwait,2014,0
Kuwait,2015,0
Kuwait,2016,0
Kuwait,2017,0
Kuwait,2018,0
Kuwait,2019,0
Kuwait,2020,0
Kuwait,2021,0
Kuwait,2022,0
Kuwait,2023,0
Lao People's Democratic Republic,2018,96
Lao People's Democratic Republic,2019,96
Lao People's Democratic Republic,2020,96
Lao People's Democratic Republic,2021,96
Lao People's Democratic Republic,2022,96
Lao People's Democratic Republic,2023,96
Lebanon,2013,66
Lebanon,2014,66
Lebanon,2015,66
Lebanon,2016,66
Lebanon,2017,66
Lebanon,2018,66
Lebanon,2019,66
Lebanon,2020,66
Lebanon,2021,66
Lesotho,2007,97
Lesotho,2008,97
Lesotho,2009,97
Lesotho,2010,97
Lesotho,2011,97
Lesotho,2012,97
Lesotho,2013,97
Lesotho,2014,97
Lesotho,2015,97
Liberia,2009,97
Liberia,2010,97
Liberia,2011,97
Liberia,2012,94
Liberia,2013,91
Liberia,2014,88
Liberia,2015,85
Liberia,2016,82
Liberia,2017,79
Malawi,2013,88
Malawi,2014,88
Malawi,2015,88
Malawi,2016,88
Malawi,2017,88
Malawi,2018,88
Malawi,2019,87
Malawi,2020,87
Malawi,2021,87
Malaysia,2019,30
Malaysia,2020,30
Malaysia,2021,30
Malaysia,2022,30
Malaysia,2023,30
Maldives,2014,85
Maldives,2015,85
Maldives,2016,85
Maldives,2017,85
Maldives,2018,85
Maldives,2019,85
Maldives,2020,85
Maldives,2021,85
Maldives,2022,85
Mali,2018,84
Mali,2019,85
Mali,2020,85
Mali,2021,85
Mali,2022,85
Malta,2019,38
Malta,2020,38
Malta,2021,38
Malta,2022,38
Malta,2023,38
"Micronesia, Federated States of",2017,67
"Micronesia, Federated States of",2018,67
"Micronesia, Federated States of",2019,67
"Micronesia, Federated States of",2020,67
"Micronesia, Federated States of",2021,67
"Micronesia, Federated States of",2022,67
"Micronesia, Federated States of",2023,67
Mongolia,2019,46
Mongolia,2020,46
Mongolia,2021,46
Mongolia,2022,46
Mongolia,2023,46
Morocco,2018,82
Morocco,2019,82
Morocco,2020,82
Morocco,2021,82
Morocco,2022,82
Morocco,2023,82
Mozambique,2014,14
Mozambique,2015,14
Mozambique,2016,14
Mozambique,2017,14
Mozambique,2018,14
Nepal,2017,82
Nepal,2018,81
Nepal,2019,80
Nepal,2020,78
Nepal,2021,77
Nepal,2022,76
Nepal,2023,74
Niger,2017,80
Niger,2018,79
Niger,2019,78
Niger,2020,77
Niger,2021,76
Niger,2022,75
Niger,2023,75
Nigeria,2011,39
Nigeria,2012,43
Nigeria,2013,47
Nigeria,2014,51
Nigeria,2015,54
Nigeria,2016,54
Nigeria,2017,54
Nigeria,2018,53
Nigeria,2019,53
Nigeria,2020,53
Nigeria,2021,52
Nigeria,2022,54
Nigeria,2023,57
"Macedonia, the former Yugoslav Republic of",2000,0
"Macedonia, the former Yugoslav Republic of",2001,0
"Macedonia, the former Yugoslav Republic of",2002,0
"Macedonia, the former Yugoslav Republic of",2003,0
"Macedonia, the former Yugoslav Republic of",2004,0
"Macedonia, the former Yugoslav Republic of",2005,0
"Macedonia, the former Yugoslav Republic of",2006,0
"Macedonia, the former Yugoslav Republic of",2007,0
"Macedonia, the former Yugoslav Republic of",2008,0
"Macedonia, the former Yugoslav Republic of",2009,0
"Macedonia, the former Yugoslav Republic of",2010,0
"Macedonia, the former Yugoslav Republic of",2011,0
"Macedonia, the former Yugoslav Republic of",2012,0
"Macedonia, the former Yugoslav Republic of",2013,0
"Macedonia, the former Yugoslav Republic of",2014,0
"Macedonia, the former Yugoslav Republic of",2015,0
"Macedonia, the former Yugoslav Republic of",2016,0
"Macedonia, the former Yugoslav Republic of",2017,0
"Macedonia, the former Yugoslav Republic of",2018,0
"Macedonia, the former Yugoslav Republic of",2019,0
"Macedonia, the former Yugoslav Republic of",2020,0
"Macedonia, the former Yugoslav Republic of",2021,0
"Macedonia, the former Yugoslav Republic of",2022,0
"Macedonia, the former Yugoslav Republic of",2023,0
Oman,2000,0
Oman,2001,0
Oman,2002,0
Oman,2003,0
Oman,2004,0
Oman,2005,0
Oman,2006,0
Oman,2007,0
Oman,2008,0
Oman,2009,0
Oman,2010,0
Oman,2011,0
Oman,2012,0
Oman,2013,0
Oman,2014,0
Oman,2015,0
Oman,2016,0
Oman,2017,5
Oman,2018,5
Oman,2019,5
Oman,2020,5
Oman,2021,5
Oman,2022,5
Oman,2023,5
Pakistan,2017,70
Pakistan,2018,70
Pakistan,2019,70
Pakistan,2020,70
Pakistan,2021,70
Pakistan,2022,70
Pakistan,2023,70
Palau,2017,100
Palau,2018,100
Palau,2019,100
Palau,2020,100
Palau,2021,100
Palau,2022,100
Palau,2023,100
Paraguay,2013,62
Paraguay,2014,62
Paraguay,2015,62
Paraguay,2016,62
Paraguay,2017,62
Paraguay,2018,62
Paraguay,2019,62
Paraguay,2020,62
Paraguay,2021,62
Peru,2013,83
Peru,2014,83
Peru,2015,83
Peru,2016,83
Peru,2017,83
Peru,2018,83
Peru,2019,83
Peru,2020,83
Peru,2021,83
Qatar,2000,0
Qatar,2001,0
Qatar,2002,0
Qatar,2003,0
Qatar,2004,0
Qatar,2005,0
Qatar,2006,0
Qatar,2007,0
Qatar,2008,0
Qatar,2009,0
Qatar,2010,0
Qatar,2011,0
Qatar,2012,0
Qatar,2013,0
Qatar,2014,0
Qatar,2015,0
Qatar,2016,0
Qatar,2017,0
Qatar,2018,0
Qatar,2019,0
Qatar,2020,0
Qatar,2021,0
Qatar,2022,0
Qatar,2023,0
Rwanda,2019,41
Rwanda,2020,41
Rwanda,2021,41
Rwanda,2022,41
Rwanda,2023,41
Samoa,2016,15
Samoa,2017,15
Samoa,2018,15
Samoa,2019,15
Samoa,2020,15
Samoa,2021,15
Samoa,2022,15
Samoa,2023,15
Saudi Arabia,2000,0
Saudi Arabia,2001,0
Saudi Arabia,2002,0
Saudi Arabia,2003,0
Saudi Arabia,2004,0
Saudi Arabia,2005,0
Saudi Arabia,2006,0
Saudi Arabia,2007,0
Saudi Arabia,2008,0
Saudi Arabia,2009,0
Saudi Arabia,2010,0
Saudi Arabia,2011,0
Saudi Arabia,2012,0
Saudi Arabia,2013,0
Saudi Arabia,2014,0
Saudi Arabia,2015,0
Saudi Arabia,2016,0
Saudi Arabia,2017,0
Saudi Arabia,2018,0
Saudi Arabia,2019,0
Saudi Arabia,2020,0
Saudi Arabia,2021,0
Saudi Arabia,2022,0
Saudi Arabia,2023,0
Serbia,2015,93
Serbia,2016,93
Serbia,2017,93
Serbia,2018,93
Serbia,2019,93
Serbia,2020,93
Serbia,2021,93
Serbia,2022,93
Serbia,2023,93
Sierra Leone,2012,85
Sierra Leone,2013,85
Sierra Leone,2014,86
Sierra Leone,2015,87
Sierra Leone,2016,87
Sierra Leone,2017,81
Sierra Leone,2018,76
Sierra Leone,2019,70
Sierra Leone,2020,65
Sierra Leone,2021,59
Sierra Leone,2022,53
Sierra Leone,2023,48
Singapore,2000,0
Singapore,2001,0
Singapore,2002,0
Singapore,2003,0
Singapore,2004,0
Singapore,2005,0
Singapore,2006,0
Singapore,2007,0
Singapore,2008,0
Singapore,2009,0
Singapore,2010,0
Singapore,2011,0
Singapore,2012,0
Singapore,2013,0
Singapore,2014,0
Singapore,2015,0
Singapore,2016,0
Singapore,2017,0
Singapore,2018,0
Singapore,2019,0
Singapore,2020,0
Singapore,2021,0
Singapore,2022,0
Singapore,2023,0
Solomon Islands,2016,56
Solomon Islands,2017,56
Solomon Islands,2018,56
Solomon Islands,2019,56
Solomon Islands,2020,56
Solomon Islands,2021,56
Solomon Islands,2022,56
Solomon Islands,2023,56
Somalia,2019,71
Somalia,2020,73
Somalia,2021,75
Somalia,2022,76
Somalia,2023,76
Sri Lanka,2018,60
Sri Lanka,2019,60
Sri Lanka,2020,60
Sri Lanka,2021,60
"Palestinian Territory, Occupied",2017,94
"Palestinian Territory, Occupied",2018,94
"Palestinian Territory, Occupied",2019,94
"Palestinian Territory, Occupied",2020,94
"Palestinian Territory, Occupied",2021,93
"Palestinian Territory, Occupied",2022,93
"Palestinian Territory, Occupied",2023,93
Sudan,2017,74
Sudan,2018,74
Sudan,2019,74
Sudan,2020,74
Sudan,2021,74
Sudan,2022,74
Sudan,2023,74
Syrian Arab Republic,2018,83
Syrian Arab Republic,2019,83
Syrian Arab Republic,2020,83
Syrian Arab Republic,2021,83
Syrian Arab Republic,2022,83
Syrian Arab Republic,2023,83
Tajikistan,2017,57
Tajikistan,2018,53
Tajikistan,2019,49
Tajikistan,2020,45
Tajikistan,2021,41
Tajikistan,2022,37
Tajikistan,2023,33
Tokelau,2000,0
Tokelau,2001,0
Tokelau,2002,0
Tokelau,2003,0
Tokelau,2004,0
Tokelau,2005,0
Tokelau,2006,0
Tokelau,2007,0
Tokelau,2008,0
Tokelau,2009,0
Tokelau,2010,0
Tokelau,2011,0
Tokelau,2012,0
Tokelau,2013,0
Tokelau,2014,0
Tokelau,2015,0
Tokelau,2016,0
Tokelau,2017,0
Tokelau,2018,0
Tokelau,2019,0
Tokelau,2020,0
Tokelau,2021,0
Tokelau,2022,0
Tokelau,2023,0
Uganda,2009,68
Uganda,2010,68
Uganda,2011,67
Uganda,2012,66
Uganda,2013,65
Uganda,2014,65
Uganda,2015,64
Uganda,2016,63
Uganda,2017,66
Uganda,2018,65
Uganda,2019,64
Uganda,2020,64
Uganda,2021,63
Uganda,2022,62
Uganda,2023,62
"Tanzania, United Republic of",2008,28
"Tanzania, United Republic of",2009,28
"Tanzania, United Republic of",2010,28
"Tanzania, United Republic of",2011,35
"Tanzania, United Republic of",2012,36
"Tanzania, United Republic of",2013,43
"Tanzania, United Republic of",2014,50
"Tanzania, United Republic of",2015,57
"Tanzania, United Republic of",2016,64
"Tanzania, United Republic of",2017,71
"Tanzania, United Republic of",2018,78
"Tanzania, United Republic of",2019,85
"Tanzania, United Republic of",2020,92
"Tanzania, United Republic of",2021,94
"Tanzania, United Republic of",2022,94
Vanuatu,2016,68
Vanuatu,2017,68
Vanuatu,2018,68
Vanuatu,2019,68
Vanuatu,2020,68
Vanuatu,2021,68
Vanuatu,2022,68
Vanuatu,2023,68
Zimbabwe,2014,82
Zimbabwe,2015,82
Zimbabwe,2016,82
Zimbabwe,2017,82
Zimbabwe,2018,82
Zimbabwe,2019,82
Zimbabwe,2020,82
Zimbabwe,2021,82
Zimbabwe,2022,82
